EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-79.215,-6.097,-9.696,-6.517,-39.375,129.304,-40.708,7.896,-0.031,1.035,-0.049,7.812,-9.033,-1.221,100.000,17845.000,1.000
-80.182,-3.312,-8.950,-7.122,-38.012,138.044,-43.215,7.650,-0.033,1.034,-0.053,7.843,-8.881,-1.129,100.000,17846.000,1.000
-77.745,1.277,-6.134,-6.602,-32.866,139.801,-40.151,8.276,-0.036,1.032,-0.055,7.751,-8.972,-1.068,100.000,17847.000,1.000
-72.142,7.000,-1.190,-4.775,-24.924,134.166,-31.722,9.839,-0.035,1.026,-0.054,7.660,-9.064,-0.916,100.000,17848.000,1.000
-65.526,12.124,4.475,-2.595,-17.193,124.651,-21.422,11.080,-0.035,1.019,-0.058,7.599,-9.094,-0.916,100.000,17849.000,1.000
-60.316,14.975,8.919,-1.355,-12.756,116.017,-13.882,10.566,-0.029,1.013,-0.061,7.660,-9.186,-0.824,100.000,17850.000,1.000
-57.316,15.203,11.094,-1.521,-12.378,111.714,-11.586,8.543,-0.020,1.004,-0.062,7.782,-9.277,-0.732,100.000,17851.000,1.000
-56.526,13.516,10.974,-2.599,-14.624,112.377,-13.832,6.349,-0.011,1.000,-0.067,8.057,-9.155,-0.488,100.000,17852.000,1.000
-60.266,10.497,8.578,-3.996,-18.343,115.944,-18.762,3.784,-0.001,0.998,-0.068,8.270,-9.003,-0.275,100.000,17853.000,1.000
-72.426,6.479,3.979,-5.462,-23.509,119.505,-25.018,-0.779,0.010,0.996,-0.068,8.575,-8.667,-0.031,100.000,17854.000,1.000
-91.472,2.475,-1.482,-6.661,-29.134,121.425,-30.877,-6.579,0.022,0.992,-0.065,8.759,-8.148,0.244,100.000,17855.000,1.000
