EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
145938.750,145283.031,490337.031,401953.844,139383.781,164173.219,138180.094,152436.484,-0.027,1.016,-0.106,-0.885,0.610,0.793,93.333,9982.000,1.000
145602.844,145081.328,490105.375,401864.719,139157.594,163915.625,138038.563,152074.922,-0.028,1.014,-0.109,-0.916,0.610,0.763,93.333,9983.000,1.000
145026.344,144837.438,489525.219,401747.219,138397.891,163421.922,137850.453,151369.063,-0.028,1.012,-0.105,-1.099,0.519,0.763,93.333,9984.000,1.000
145203.016,144960.094,489607.469,401791.656,138453.953,163555.406,137932.797,151541.078,-0.029,1.011,-0.106,-1.099,0.641,0.763,93.333,9985.000,1.000
145877.688,145262.750,490234.125,401927.469,139280.969,164127.172,138166.516,152346.547,-0.029,1.011,-0.105,-1.099,0.641,0.732,93.333,9986.000,1.000
145725.688,145137.297,490176.469,401871.344,139287.234,164022.563,138084.797,152214.500,-0.028,1.011,-0.107,-1.099,0.702,0.763,93.333,9987.000,1.000
145062.828,144841.813,489543.469,401730.500,138478.359,163465.641,137860.734,151428.781,-0.030,1.012,-0.106,-1.221,0.732,0.671,93.333,9988.000,1.000
145116.828,144910.922,489499.281,401749.281,138372.234,163491.219,137900.969,151445.406,-0.027,1.012,-0.106,-1.221,0.702,0.641,93.333,9989.000,1.000
145762.703,145211.781,490087.594,401882.313,139137.656,164039.813,138128.422,152218.969,-0.026,1.013,-0.109,-1.221,0.732,0.610,93.333,9990.000,1.000
145859.719,145196.313,490234.656,401869.469,139396.125,164128.516,138117.969,152332.422,-0.023,1.012,-0.111,-1.251,0.763,0.610,93.333,9991.000,1.000
145151.516,144872.656,489603.906,401731.156,138608.000,163549.875,137886.391,151530.797,-0.023,1.011,-0.112,-1.190,0.885,0.763,93.333,9992.000,1.000
145056.484,144884.469,489434.469,401731.063,138344.078,163451.078,137880.406,151390.078,-0.023,1.012,-0.113,-1.190,0.916,0.702,93.333,9993.000,1.000
145648.984,145173.969,489950.094,401857.844,138999.781,163950.328,138099.547,152087.891,-0.023,1.010,-0.112,-1.160,1.007,0.763,93.333,9994.000,1.000
145932.219,145247.281,490262.188,401882.688,139469.344,164194.484,138160.078,152428.797,-0.021,1.010,-0.111,-1.099,1.038,0.793,93.333,9995.000,1.000
145246.734,144908.953,489666.313,401728.000,138736.297,163632.031,137908.125,151646.219,-0.021,1.012,-0.113,-1.190,1.099,0.854,93.333,9996.000,1.000
145006.141,144844.859,489367.969,401693.844,138308.484,163411.281,137849.297,151339.109,-0.023,1.012,-0.109,-1.160,1.190,0.916,93.333,9997.000,1.000
145511.391,145101.547,489782.906,401804.531,138822.313,163827.297,138039.641,151921.953,-0.024,1.011,-0.109,-1.068,1.251,1.038,93.333,9998.000,1.000
145970.844,145266.594,490250.125,401874.188,139483.125,164216.844,138166.156,152472.078,-0.025,1.009,-0.109,-0.977,1.434,0.977,93.333,9999.000,1.000
145376.734,144961.797,489750.094,401735.781,138888.109,163734.047,137941.922,151789.000,-0.027,1.008,-0.110,-0.854,1.343,0.946,93.333,10000.000,1.000
144988.891,144830.547,489330.594,401675.875,138320.297,163399.750,137843.578,151326.766,-0.030,1.006,-0.109,-0.946,1.251,0.916,93.333,10001.000,1.000
145400.078,145056.391,489646.094,401772.344,138691.156,163733.594,138008.438,151784.531,-0.031,1.006,-0.110,-0.885,1.312,0.885,93.333,10002.000,1.000
145987.656,145294.656,490221.000,401877.594,139476.953,164231.953,138195.125,152481.016,-0.032,1.007,-0.105,-0.763,1.282,0.854,93.333,10003.000,1.000
145527.750,145036.984,489853.063,401758.781,139059.781,163858.328,138003.438,151942.781,-0.032,1.007,-0.107,-0.671,1.221,0.854,93.333,10004.000,1.000
144994.797,144825.281,489320.563,401662.469,138359.625,163405.031,137846.703,151328.203,-0.033,1.008,-0.105,-0.702,1.038,0.793,93.333,10005.000,1.000
145282.766,144995.500,489504.031,401730.594,138555.250,163628.547,137966.500,151636.391,-0.034,1.009,-0.107,-0.641,0.946,0.671,93.333,10006.000,1.000
145939.828,145273.375,490124.688,401853.000,139388.969,164180.094,138178.047,152420.391,-0.036,1.009,-0.109,-0.549,0.946,0.580,93.333,10007.000,1.000
145655.328,145086.609,489921.125,401763.594,139190.578,163954.609,138039.906,152082.344,-0.034,1.008,-0.107,-0.580,0.763,0.519,93.333,10008.000,1.000
145023.125,144824.016,489322.531,401643.063,138416.406,163429.531,137847.781,151366.734,-0.031,1.008,-0.105,-0.641,0.702,0.397,93.333,10009.000,1.000
145183.344,144943.656,489384.938,401680.813,138454.047,163544.500,137917.953,151517.828,-0.028,1.006,-0.110,-0.549,0.671,0.519,93.333,10010.000,1.000
145859.531,145249.328,490007.844,401815.625,139274.984,164110.359,138145.766,152318.203,-0.027,1.006,-0.107,-0.336,0.580,0.610,93.333,10011.000,1.000
145771.375,145144.906,489984.500,401762.344,139311.016,164037.766,138067.984,152210.563,-0.024,1.008,-0.109,-0.366,0.671,0.610,93.333,10012.000,1.000
145072.750,144832.875,489344.719,401621.781,138495.703,163458.219,137840.891,151422.172,-0.025,1.012,-0.111,-0.275,0.671,0.610,93.333,10013.000,1.000
145101.906,144896.625,489286.250,401639.500,138367.234,163462.875,137874.781,151421.094,-0.024,1.017,-0.111,-0.305,0.732,0.671,93.333,10014.000,1.000
145748.672,145205.703,489877.500,401777.188,139123.703,164011.750,138111.797,152193.391,-0.025,1.019,-0.109,-0.397,0.763,0.885,93.333,10015.000,1.000
145869.375,145204.094,490053.094,401770.750,139414.625,164122.156,138115.547,152336.266,-0.024,1.021,-0.109,-0.366,0.671,0.946,93.333,10016.000,1.000
145155.000,144870.250,489416.688,401619.125,138624.984,163538.422,137873.344,151528.656,-0.026,1.021,-0.106,-0.519,0.763,0.946,93.333,10017.000,1.000
145038.594,144869.359,489221.594,401609.000,138332.266,163426.219,137864.219,151362.797,-0.028,1.019,-0.107,-0.641,0.732,0.854,93.333,10018.000,1.000
145622.344,145159.750,489723.531,401736.313,138968.047,163918.141,138083.547,152046.672,-0.030,1.019,-0.110,-0.732,0.763,0.885,93.333,10019.000,1.000
145932.766,145248.438,490059.250,401774.250,139463.094,164182.875,138154.891,152417.797,-0.030,1.018,-0.105,-0.824,0.732,0.824,93.333,10020.000,1.000
145264.703,144919.328,489478.625,401625.281,138746.313,163630.688,137912.688,151651.234,-0.030,1.017,-0.103,-0.946,0.671,0.671,93.333,10021.000,1.000
145004.359,144845.922,489160.813,401585.219,138299.016,163394.031,137853.766,151325.875,-0.031,1.015,-0.101,-1.007,0.610,0.641,93.333,10022.000,1.000
145498.234,145102.438,489564.469,401693.313,138801.297,163804.859,138041.516,151899.594,-0.032,1.013,-0.106,-1.038,0.397,0.458,93.333,10023.000,1.000
145970.844,145272.672,490038.406,401767.156,139468.906,164202.266,138171.250,152460.359,-0.033,1.014,-0.105,-1.129,0.427,0.397,93.333,10024.000,1.000
145402.578,144975.828,489558.844,401632.719,138894.188,163733.688,137952.563,151795.891,-0.032,1.012,-0.106,-1.129,0.336,0.366,93.333,10025.000,1.000
144992.641,144831.531,489125.563,401561.000,138309.828,163382.938,137844.469,151315.859,-0.033,1.011,-0.106,-1.251,0.275,0.153,93.333,10026.000,1.000
145380.672,145050.047,489423.844,401647.719,138657.172,163704.813,138001.547,151751.188,-0.031,1.011,-0.105,-1.251,0.305,0.183,93.333,10027.000,1.000
145975.406,145295.563,490004.719,401760.188,139444.047,164211.844,138187.078,152459.109,-0.029,1.010,-0.104,-1.190,0.122,0.275,93.333,10028.000,1.000
145541.250,145043.969,489659.406,401644.500,139051.188,163850.813,137994.219,151946.000,-0.028,1.009,-0.105,-1.160,0.122,0.336,93.333,10029.000,1.000
145009.281,144832.250,489133.000,401548.125,138356.672,163396.266,137837.672,151334.641,-0.026,1.009,-0.104,-1.129,0.153,0.275,93.333,10030.000,1.000
145280.797,144998.453,489303.500,401609.375,138538.078,163606.375,137949.438,151621.547,-0.024,1.010,-0.105,-1.129,0.183,0.275,93.333,10031.000,1.000
145934.375,145283.938,489919.250,401735.063,139367.063,164160.156,138166.688,152402.063,-0.024,1.010,-0.101,-1.129,0.275,0.305,93.333,10032.000,1.000
145677.141,145113.875,489742.125,401653.094,139204.344,163956.406,138045.188,152102.375,-0.025,1.008,-0.100,-1.190,0.366,0.458,93.333,10033.000,1.000
145045.484,144850.391,489145.344,401532.938,138433.750,163432.391,137857.344,151388.016,-0.025,1.008,-0.101,-1.068,0.397,0.458,93.333,10034.000,1.000
145185.406,144958.141,489182.781,401567.000,138443.313,163531.891,137926.188,151520.688,-0.024,1.007,-0.102,-1.038,0.427,0.488,93.333,10035.000,1.000
