EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
2.648,2.504,2.684,2.452,2.629,2.337,2.584,2.631,-0.009,0.988,-0.051,-0.122,-0.366,0.092,26.667,2804.000,1.000
-1.825,-1.790,-1.698,-1.804,-1.617,-1.923,-1.939,-1.710,-0.009,0.986,-0.045,-0.153,-0.397,0.214,26.667,2805.000,1.000
-9.542,-9.236,-9.448,-9.227,-9.253,-9.336,-9.487,-9.392,-0.008,0.987,-0.050,-0.092,-0.488,0.214,26.667,2806.000,1.000
-10.107,-9.875,-10.283,-9.820,-9.993,-9.895,-9.987,-10.203,-0.008,0.986,-0.048,-0.061,-0.366,0.275,26.667,2807.000,1.000
-5.896,-5.985,-6.260,-5.880,-5.972,-5.952,-5.863,-6.204,-0.009,0.986,-0.051,-0.122,-0.427,0.214,26.667,2808.000,1.000
-8.105,-8.355,-8.394,-8.273,-8.243,-8.393,-8.172,-8.364,-0.010,0.985,-0.050,-0.183,-0.427,0.275,26.667,2809.000,1.000
-15.750,-15.915,-15.901,-15.931,-15.828,-16.038,-15.885,-15.920,-0.008,0.988,-0.052,-0.214,-0.366,0.244,26.667,2810.000,1.000
-16.512,-16.581,-16.681,-16.661,-16.521,-16.674,-16.695,-16.731,-0.007,0.987,-0.049,-0.092,-0.366,0.366,26.667,2811.000,1.000
-9.648,-9.675,-9.906,-9.669,-9.727,-9.667,-9.779,-9.844,-0.009,0.988,-0.049,-0.214,-0.427,0.275,26.667,2812.000,1.000
-8.615,-8.500,-8.803,-8.280,-8.763,-8.392,-8.493,-8.516,-0.007,0.987,-0.050,-0.214,-0.488,0.214,26.667,2813.000,1.000
-16.664,-16.392,-16.655,-16.024,-16.643,-16.174,-16.308,-16.243,-0.007,0.987,-0.050,-0.275,-0.458,0.336,26.667,2814.000,1.000
-20.773,-20.570,-20.665,-20.275,-20.541,-20.266,-20.581,-20.382,-0.009,0.988,-0.046,-0.275,-0.427,0.336,26.667,2815.000,1.000
-15.843,-15.843,-15.756,-15.751,-15.670,-15.567,-16.081,-15.751,-0.008,0.987,-0.049,-0.214,-0.427,0.183,26.667,2816.000,1.000
-13.425,-13.494,-13.370,-13.572,-13.449,-13.331,-13.821,-13.508,-0.006,0.986,-0.049,-0.244,-0.458,0.183,26.667,2817.000,1.000
-19.398,-19.404,-19.387,-19.587,-19.530,-19.268,-19.604,-19.447,-0.007,0.986,-0.047,-0.244,-0.397,0.305,26.667,2818.000,1.000
-23.228,-23.230,-23.357,-23.502,-23.513,-23.029,-23.381,-23.336,-0.007,0.986,-0.049,-0.275,-0.397,0.244,26.667,2819.000,1.000
-17.928,-18.004,-18.250,-18.404,-18.448,-17.856,-18.335,-18.270,-0.008,0.986,-0.049,-0.244,-0.427,0.153,26.667,2820.000,1.000
